accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_car,involves_pedestrian,involves_motorcycle,longitude,latitude
219022,5,12,17,2,3,3,f,t,f,f,13.21699489,52.52698787
219021,7,12,18,4,3,1,t,t,f,f,13.37351766,52.45552642
219020,3,12,19,2,3,0,t,f,f,f,13.42028321,52.54841869
219018,8,12,17,3,3,6,f,t,t,f,13.44627095,52.47108579
219016,6,12,15,6,3,5,t,t,f,f,13.25779733,52.43461527
219013,1,12,8,2,3,2,f,t,f,f,13.36169483,52.52408755
219012,5,12,5,4,3,5,f,t,f,f,13.24708127,52.54413835
219011,1,12,12,7,3,6,t,f,t,f,13.35797064,52.51696876
219010,12,12,23,4,3,6,f,t,t,f,13.29953349,52.57918639
219008,11,12,18,5,3,6,f,t,t,f,13.47362914,52.53578324
219007,4,12,13,5,2,0,f,f,f,t,13.32098283,52.51303103
219005,4,11,9,2,3,2,f,t,f,f,13.30661969,52.51749233
219003,4,12,16,4,3,0,f,t,f,f,13.28107408,52.48054789
219002,1,12,20,4,3,2,f,t,f,f,13.38730539,52.53361407
219001,6,12,18,2,3,6,f,t,t,f,13.33942537,52.46027704
218999,4,12,17,6,3,0,f,f,f,t,13.27431025,52.50806916
218998,8,11,8,3,3,5,f,t,f,f,13.43251731,52.46938213
218997,9,12,15,2,3,5,t,t,f,f,13.6244641,52.45051063
218996,11,12,18,2,3,2,f,t,f,f,13.47976164,52.52489422
218993,7,11,16,2,2,6,f,t,t,f,13.34802773,52.41483607
218991,4,12,11,3,3,5,t,t,f,f,13.32009451,52.47165101
218990,4,12,20,5,3,2,t,t,f,f,13.33479288,52.49941212
218988,10,12,0,7,3,3,f,t,f,f,13.60717712,52.49028905
218987,8,11,12,3,3,5,f,t,f,f,13.4480023,52.47749893
218986,2,12,8,2,3,0,t,f,f,f,13.44116839,52.51819032
218985,2,12,12,2,3,2,f,t,f,f,13.38451516,52.49653589
218983,1,12,17,3,3,6,f,t,t,f,13.36986399,52.55985498
218982,6,12,18,4,2,5,f,t,f,f,13.31535703,52.4164792
218980,2,12,0,5,3,5,f,t,f,f,13.4065982,52.49836166
218979,8,12,15,2,3,2,f,t,f,f,13.44001154,52.44785426
218978,7,12,14,7,3,2,f,t,f,f,13.39277389,52.44754823
218977,11,12,18,4,3,2,f,t,f,f,13.5245864,52.47828593
218976,1,12,15,3,3,5,t,t,f,f,13.40561863,52.51415956
218974,11,12,19,5,3,6,f,t,t,f,13.50485518,52.56339623
218972,4,12,12,6,3,0,f,f,f,t,13.31418103,52.50804329
218969,6,12,17,3,3,2,f,t,f,f,13.34343517,52.42786182
218968,4,12,16,7,3,3,f,t,f,f,13.3322354,52.50105575
218967,11,12,12,4,3,5,t,t,f,f,13.50158734,52.54896429
218966,7,12,18,3,3,3,f,t,f,f,13.38571653,52.44556296
218964,3,12,11,6,3,5,f,t,f,f,13.43278839,52.59582126
218963,7,12,18,1,3,5,f,t,f,f,13.40103031,52.41456157
218961,7,11,18,3,3,2,f,t,f,f,13.38140471,52.41079047
218959,2,12,14,3,3,6,f,t,t,f,13.38802391,52.4929762
218958,9,12,3,1,3,0,f,t,f,f,13.53952056,52.44896273
218957,11,12,14,5,2,6,f,f,t,f,13.50387385,52.56424175
218956,7,12,16,6,3,5,f,t,f,t,13.37213552,52.46977923
218953,4,12,11,6,3,2,f,t,f,f,13.30642029,52.47699618
218952,9,12,9,6,3,3,t,t,f,f,13.59604549,52.44376719
218951,12,12,10,4,3,5,f,t,f,f,13.35183421,52.57375464
218950,8,12,17,7,3,6,t,f,t,f,13.43791625,52.44837392
218948,2,12,23,3,3,5,f,t,f,f,13.39550025,52.49900531
218946,3,12,12,5,3,3,t,f,f,f,13.40665644,52.55406253
218943,4,12,15,2,3,5,f,t,f,f,13.28005592,52.51831441
218942,10,12,0,3,3,5,f,t,f,f,13.58910456,52.51754415
218941,4,12,16,4,3,5,f,t,f,f,13.31690614,52.50129975
218940,6,12,14,2,3,5,t,t,f,f,13.14369614,52.39756849
218938,1,12,19,4,3,5,t,t,f,f,13.40314693,52.52899714
218937,5,12,7,5,3,5,f,t,f,f,13.18243909,52.53842276
218935,11,12,12,6,3,5,f,t,f,f,13.49471718,52.55965952
218932,1,12,14,3,3,5,f,t,f,f,13.4037886,52.52603213
218931,6,12,12,5,3,5,f,t,f,f,13.36683956,52.43494404
218930,4,12,14,4,3,1,t,t,f,f,13.27624817,52.51461338
218929,5,12,7,7,2,1,f,t,f,f,13.20953484,52.53854176
218927,10,12,7,4,3,5,t,f,f,f,13.58568851,52.52912098
218925,4,12,21,5,3,2,f,t,f,f,13.3370146,52.50392529
218924,11,12,17,2,3,2,f,t,f,f,13.45841796,52.52758647
218923,8,12,0,7,3,5,f,t,f,f,13.43312661,52.45243365
218922,11,12,6,4,2,6,f,t,t,f,13.51053177,52.56908191
218921,4,12,9,3,3,1,t,t,f,f,13.30832325,52.49636544
218920,1,12,13,2,3,5,t,f,f,f,13.35664123,52.53566567
218918,7,12,17,5,3,2,f,t,f,f,13.39155018,52.46571973
218916,5,12,22,6,3,5,t,t,f,f,13.20544905,52.53950932
