accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_pedestrian,longitude,latitude
218141,11,11,12,3,2,5,t,f,13.52708647,52.49214567
218140,4,10,8,4,3,6,f,t,13.31392035,52.46718252
218139,3,11,12,6,3,0,t,f,13.45904596,52.52929441
218137,9,11,10,4,3,1,t,f,13.59232889,52.46185771
218136,1,11,16,7,3,5,t,f,13.38479407,52.55074534
218131,7,11,17,6,3,3,t,f,13.33306642,52.46929333
218127,1,11,8,4,3,2,t,f,13.38533092,52.55031593
218126,4,10,19,4,3,1,t,f,13.31607743,52.50623803
218125,5,10,13,5,3,0,t,t,13.16022606,52.54857861
218123,11,11,9,2,3,5,t,f,13.52339093,52.50952456
218120,11,10,16,7,3,5,t,f,13.50582435,52.54650541
218117,10,11,17,2,3,6,f,t,13.59987684,52.47515514
218116,1,11,10,5,3,5,t,f,13.37643947,52.51009263
218109,1,10,16,6,3,6,f,t,13.39995388,52.52956532
218106,3,11,8,4,3,6,f,t,13.41159065,52.58228444
218103,5,10,6,4,3,5,t,f,13.2053531,52.54177811
218102,12,11,9,2,3,6,f,t,13.32831681,52.56544439
218101,4,10,11,3,3,0,t,f,13.30833082,52.50021352
218100,3,10,12,4,3,2,t,f,13.44370802,52.53954104
218099,8,11,16,7,3,5,t,f,13.43427703,52.46318898
218098,8,11,16,2,3,5,t,f,13.43815504,52.46707035
218094,9,10,10,7,2,6,f,t,13.56622931,52.44515095
218092,12,11,18,5,3,5,t,f,13.3066448,52.55522514
218088,7,10,16,2,2,7,t,f,13.35899668,52.49832157
218087,12,11,18,4,3,0,t,f,13.28384485,52.58297666
218086,4,11,18,3,3,6,f,t,13.30907791,52.51654154
218085,3,10,15,4,3,5,t,f,13.47800545,52.55568763
218082,2,11,13,2,3,0,t,f,13.46692237,52.52014127
218081,2,11,14,4,3,3,t,f,13.37567937,52.48503702
218080,4,11,9,3,3,5,t,f,13.32266058,52.48817396
218079,6,10,11,7,3,5,t,f,13.25291639,52.42585741
218076,12,11,7,2,3,5,t,f,13.35823008,52.56938718
218072,2,10,16,5,3,0,t,f,13.46715949,52.5079638
218071,5,11,14,6,2,6,f,t,13.27260029,52.53693046
218062,1,10,23,1,3,5,t,f,13.40007279,52.52882024
218059,4,11,19,2,3,0,t,f,13.30241225,52.50686257
218058,3,11,9,5,3,5,t,f,13.36872494,52.58798055
218056,8,10,7,3,2,5,t,f,13.48357462,52.43127338
218055,3,10,7,4,3,2,t,f,13.4120663,52.53111379
218054,5,11,17,7,3,6,f,t,13.20828984,52.56150633
218053,2,11,20,1,3,6,f,t,13.38226704,52.48997906
218052,4,10,19,5,3,1,t,f,13.30942772,52.51115016
218051,1,10,12,6,3,5,t,f,13.39496255,52.52804734
218050,8,10,9,4,3,1,t,f,13.4449174,52.45297464
218049,1,11,20,6,3,6,t,t,13.35908649,52.53404817
218048,7,11,17,3,3,2,t,f,13.35963683,52.41906254
218047,11,10,15,5,3,5,t,f,13.52546916,52.48155078
218044,3,10,9,6,3,5,t,f,13.43460346,52.54960693
218040,5,10,16,1,2,8,t,f,13.18203255,52.4823519
218038,10,10,11,2,2,6,f,t,13.59163099,52.50684848
218032,9,11,20,7,3,6,f,t,13.478569,52.4774961
218029,3,10,12,6,3,6,f,t,13.45637575,52.53024568
218025,6,11,8,4,3,0,t,f,13.30852417,52.4441729
218022,8,10,6,4,3,5,f,t,13.42117876,52.48020349
218021,1,10,10,3,2,5,t,f,13.40946721,52.52886778
218020,4,10,9,2,3,5,t,f,13.32552833,52.49806809
218019,12,11,16,2,3,5,t,f,13.31395729,52.57673185
218018,8,10,20,3,3,2,t,f,13.43846093,52.46720179
218011,4,11,17,4,3,6,f,t,13.28930439,52.50650463
218009,1,10,22,1,3,6,f,t,13.40362705,52.52565476
218006,9,11,19,4,2,5,t,f,13.62705147,52.44674347
218005,4,11,19,3,3,6,f,t,13.31302029,52.48027672
218004,2,10,16,5,3,5,t,f,13.39505167,52.50306522
218000,9,11,18,4,3,0,t,f,13.58803638,52.44543781
217999,3,11,18,2,3,5,t,f,13.41355387,52.5476486
217995,1,10,16,1,3,4,t,f,13.41831032,52.51683091
217991,5,10,11,5,1,6,f,t,13.26726524,52.53677704
217988,3,10,18,5,3,5,t,f,13.46114425,52.52974526
217987,1,10,18,4,3,1,t,f,13.40858975,52.52428863
217985,3,10,8,6,3,5,t,f,13.45781029,52.52903901
217983,6,11,17,5,3,6,f,t,13.34388691,52.43520243
217979,12,10,14,3,3,5,t,f,13.31139652,52.59304624
217977,5,11,15,2,3,6,f,t,13.1913532,52.53230585
217976,3,11,19,7,3,0,t,f,13.44029522,52.55603207
217975,4,11,8,2,3,5,t,f,13.33602753,52.51421852
217973,6,10,8,4,3,5,t,f,13.33740531,52.46259332
217971,3,11,14,1,3,1,t,f,13.43560483,52.54255903
217970,8,11,8,3,3,0,t,f,13.44203254,52.47391151
217969,12,11,13,7,3,1,t,f,13.36656166,52.56392208
217966,3,10,14,2,3,6,f,t,13.44227365,52.59104849
217965,3,10,23,6,3,1,t,f,13.4137951,52.5423837
217963,10,11,8,5,3,5,t,f,13.57350027,52.54652869
217962,9,10,14,6,3,5,t,f,13.48700389,52.46552381
217961,4,10,14,6,3,2,t,f,13.31205674,52.50632134
217960,5,10,16,3,2,5,t,f,13.19953227,52.53488008
217959,11,10,16,3,3,1,t,f,13.493281,52.54485322
217958,1,11,8,3,3,0,t,f,13.41574317,52.52669911
217957,8,10,21,4,3,6,f,t,13.43049149,52.46432957
217954,8,11,14,6,3,6,f,t,13.43922814,52.48037888
217953,10,11,21,7,3,6,f,t,13.51693025,52.53570218
217952,7,11,9,4,3,1,t,f,13.33873132,52.46743925
